0, 4809.268366, -18825.488444, 10247.380707, 7696.800809, -238951.859237, 15905.769489, 10058.352005, -18265.174917, , 1597931184468
1, 4340.753453, -20004.051219, 9561.808005, 7477.463142, -240231.541304, 15824.632657, 9031.199946, -19392.172218, , 1597931184471
2, 3608.979695, -22962.93043, 7880.465093, 6783.106205, -242606.101215, 15401.715302, 6839.030269, -22656.42096, , 1597931184476
3, 4075.21473, -21891.119586, 8575.492583, 7015.921974, -241381.940881, 15503.438091, 7844.992874, -21531.368261, , 1597931184479
4, 4770.510441, -19323.909991, 10072.299494, 7617.407414, -239202.243477, 15854.740456, 9828.084335, -18634.984527, , 1597931184483
5, 4551.910382, -19560.816129, 9923.772153, 7618.212076, -239675.787533, 15895.174762, 9521.172534, -18716.38958, , 1597931184488
6, 3642.909643, -22893.930596, 8006.528931, 6842.11481, -242478.830383, 15437.388686, 6978.639264, -22379.482848, , 1597931184491
7, 3929.503709, -22420.051264, 8346.633072, 6929.554833, -241745.58141, 15448.653965, 7537.812852, -21916.265298, , 1597931184495
8, 4628.420403, -19927.608253, 9818.093105, 7512.600084, -239587.945178, 15781.851418, 9494.417496, -19144.201966, , 1597931184500
9, 4654.571943, -19292.729307, 10157.727861, 7697.337251, -239306.514365, 15924.544954, 9868.049254, -18271.612219, , 1597931184503
10, 3669.329405, -22696.452934, 8203.939537, 6932.97465, -242279.206954, 15495.726739, 7226.609516, -21984.125194, , 1597931184508
11, 3781.043423, -22913.913055, 8141.913446, 6861.761993, -242125.65047, 15403.794014, 7251.419952, -22283.862086, , 1597931184510
12, 4463.665695, -20575.294749, 9549.738063, 7419.058034, -240038.556343, 15713.924467, 9124.741996, -19712.2939, , 1597931184515
13, 4736.178162, -19180.948234, 10331.60208, 7767.946412, -239062.701538, 15940.369989, 10104.888337, -18009.761534, , 1597931184520
14, 3800.556496, -22350.984374, 8502.603544, 7058.434991, -241914.426487, 15552.388411, 7591.658204, -21438.96615, , 1597931184523
15, 3706.008617, -23329.186113, 7981.047942, 6796.919583, -242424.046257, 15355.581302, 7015.184366, -22574.613576, , 1597931184528
16, 4366.972049, -21194.549826, 9278.767866, 7300.571438, -240464.222962, 15636.878004, 8762.375517, -20245.919444, , 1597931184530
17, 4807.927261, -19241.968496, 10381.088842, 7771.634449, -238977.742557, 15932.05514, 10192.328361, -17943.980351, , 1597931184535
18, 3955.521139, -21878.915534, 8856.789285, 7208.504603, -241446.649181, 15647.808007, 8067.280972, -20742.329334, , 1597931184538
19, 3601.335399, -23640.456505, 7868.193985, 6763.324911, -242667.993195, 15346.662956, 6860.689109, -22732.193374, , 1597931184543
20, 4240.438824, -21792.749559, 9006.054234, 7187.315149, -240876.880866, 15577.936454, 8418.650393, -20739.982401, , 1597931184548
21, 4834.145857, -19439.915544, 10351.383373, 7746.421682, -238983.308142, 15913.48084, 10183.34296, -18031.48743, , 1597931184551
22, 4197.925807, -21319.205504, 9251.945773, 7354.685011, -240847.443619, 15724.85447, 8605.06394, -19984.20287, , 1597931184556
23, 3619.976754, -23767.12384, 7854.917049, 6761.78264, -242729.147567, 15346.126514, 6825.283946, -22727.164231, , 1597931184559
24, 4158.63144, -22305.051539, 8772.500857, 7097.997579, -241229.792558, 15514.502204, 8105.167178, -21184.625651, , 1597931184563
0, 4836.761012, -19763.792319, 10235.37782, 7696.331423, -239134.115361, 15865.335183, 10035.150895, -18311.241862, , 1597931184568
1, 4415.452983, -20757.550872, 9641.134346, 7515.081128, -240271.103891, 15802.102098, 9134.39795, -19254.373714, , 1597931184571
2, 3635.265347, -23778.724395, 7898.435895, 6793.43271, -242739.138797, 15355.983633, 6862.030214, -22607.604751, , 1597931184575
3, 4053.086503, -22802.936644, 8523.122446, 6999.761662, -241615.695424, 15438.729791, 7780.35163, -21607.945337, , 1597931184580
4, 4727.326871, -20248.668709, 10010.139293, 7598.833114, -239464.83177, 15782.119639, 9746.612227, -18758.835542, , 1597931184583
5, 4567.064864, -20303.721055, 9942.078231, 7617.005082, -239790.116705, 15823.962104, 9563.350275, -18664.421774, , 1597931184588
6, 3662.623882, -23623.424475, 8025.371451, 6849.28972, -242602.547288, 15377.173087, 7013.306819, -22326.308048, , 1597931184591
7, 3928.699046, -23227.66449, 8305.327049, 6918.088389, -241947.887048, 15370.467563, 7490.941244, -21979.766604, , 1597931184595
8, 4629.962673, -20729.119453, 9770.349779, 7504.419346, -239793.938853, 15709.163545, 9436.884106, -19241.901441, , 1597931184598
9, 4704.326926, -19943.232123, 10190.450814, 7717.118545, -239386.913589, 15868.151503, 9912.372763, -18228.495704, , 1597931184603
10, 3733.233042, -23276.279534, 8267.440842, 6962.948339, -242315.752056, 15446.038811, 7305.198249, -21880.994246, , 1597931184608
11, 3795.125022, -23597.675266, 8132.324548, 6858.14101, -242271.160326, 15336.939947, 7236.734856, -22317.657923, , 1597931184610
12, 4494.242881, -21257.715855, 9522.379528, 7399.276741, -240194.862091, 15636.810949, 9092.89076, -19767.681523, , 1597931184615
13, 4799.210081, -19761.579496, 10342.465027, 7765.264202, -239144.307756, 15867.816227, 10132.98448, -17980.592508, , 1597931184620
14, 3871.500932, -22819.0299, 8573.950312, 7092.834326, -241929.71508, 15505.114471, 7697.605472, -21293.791571, , 1597931184623
15, 3724.582917, -23885.006939, 7996.202425, 6813.683391, -242544.27629, 15298.383188, 7040.397134, -22544.908108, , 1597931184628
16, 4375.219843, -21782.020722, 9266.161483, 7299.431499, -240615.700734, 15570.090992, 8750.23852, -20281.592828, , 1597931184631
